Key,Value
MISSION_NAME,Honduras San Pedro Sula East Mission
MISSION_LANGUAGE,ES
MISSION_TIMEZONE,America/Tegucigalpa
MISSION_LOCALE,es_HN
TEST_MODE,TRUE
TEST_INBOX_EMAIL,hspsem.pmg.compass@gmail.com
SEND_FROM_EMAIL,hspsem.pmg.compass@gmail.com
SYSTEM_START_DATE,2026-09-09
NIGHTLY_FORM_LINK,
WEEKLY_FORM_LINK,
RELAY_1_URL,
RELAY_2_URL,
RELAY_SECRET,
GEMINI_QA_MODEL,gemini-flash-latest
GEMINI_MODEL,gemini-flash-latest
MISSED_DAYS_LOOKBACK,3
WEEKLY_REMINDER_OWNER,AGENT_ESCALATION
CONTACT_RATE_TARGET,0.50
MC_RATE_TARGET,0.50
LESSON_RATE_TARGET,0.20
CLOSE_RATE_TARGET,0.25
EFFORT_SCORE_TARGET,2.75
TRANSFER_START_DATE,2026-09-09
GOAL_new_people_found,
GOAL_contacts_attempted,
GOAL_contacts_made,
GOAL_meaningful_conversations,
GOAL_friend_lessons,
GOAL_lessons_member_present,
GOAL_rc_lessons,
GOAL_church_invites,
GOAL_bom_shared,
GOAL_baptismal_invitations,
GOAL_baptismal_calendars
