Question_ID,Form_Type,Form_Column_Header,Metric_Key,Metric_Display_Name,Data_Type,Include_In_Daily_Log,Include_In_Live_Snapshot,Include_In_Weekly_Breakdown,Display_Order,Active
Q-N-001,NIGHTLY,Nuevas personas encontradas,new_people_found,Nuevas Personas Encontradas,NUMBER,TRUE,TRUE,TRUE,1,TRUE
Q-N-002,NIGHTLY,Intentos de contacto con amigos,contacts_attempted,Intentos de Contacto,NUMBER,TRUE,TRUE,TRUE,2,TRUE
Q-N-003,NIGHTLY,Contactos con amigos,contacts_made,Contactos,NUMBER,TRUE,TRUE,TRUE,3,TRUE
Q-N-004,NIGHTLY,Conversaciones significativas con amigos,meaningful_conversations,Conversaciones Significativas,NUMBER,TRUE,TRUE,TRUE,4,TRUE
Q-N-005,NIGHTLY,Lecciones con amigos,friend_lessons,Lecciones con Amigos,NUMBER,TRUE,TRUE,TRUE,5,TRUE
Q-N-006,NIGHTLY,Lecciones con un miembro presente,lessons_member_present,Lecciones con Miembro Presente,NUMBER,TRUE,TRUE,TRUE,6,TRUE
Q-N-007,NIGHTLY,Lecciones con conversos recientes,rc_lessons,Lecciones con Conversos Recientes,NUMBER,TRUE,TRUE,TRUE,7,TRUE
Q-N-008,NIGHTLY,Invitaciones a la Iglesia extendidas,church_invites,Invitaciones a la Iglesia,NUMBER,TRUE,TRUE,TRUE,8,TRUE
Q-N-009,NIGHTLY,Copias del Libro de Mormón entregadas,bom_shared,Libros de Mormón Entregados,NUMBER,TRUE,TRUE,TRUE,9,TRUE
Q-N-010,NIGHTLY,"¿Dio todo, la mayor parte o algo de esfuerzo en el altar del sacrificio hoy?",effort,Nivel de Esfuerzo,CHOICE,TRUE,TRUE,TRUE,10,TRUE
Q-N-011,NIGHTLY,Invitaciones al bautismo extendidas,baptismal_invitations,Invitaciones al Bautismo,NUMBER,TRUE,TRUE,TRUE,11,TRUE
Q-N-012,NIGHTLY,Calendarios bautismales entregados,baptismal_calendars,Calendarios Bautismales Entregados,NUMBER,TRUE,TRUE,TRUE,12,TRUE
Q-W-001,WEEKLY,¿Recibió una llamada de sus líderes?,leader_call,Llamada de Líderes,YESNO,FALSE,FALSE,TRUE,1,TRUE
Q-W-002,WEEKLY,¿Usted y sus líderes locales realizaron una reunión de coordinación semanal?,coordination_meeting,Reunión de Coordinación Semanal,YESNO,FALSE,FALSE,TRUE,2,TRUE
Q-W-003,WEEKLY,Amigos en la reunión sacramental (Real),ki_pew_real,Personas en Reunión Sacramental (Real),NUMBER,FALSE,FALSE,TRUE,3,TRUE
Q-W-004,WEEKLY,Amigos en la reunión sacramental (Meta),ki_pew_meta,Personas en Reunión Sacramental (Meta),NUMBER,FALSE,FALSE,TRUE,4,TRUE
Q-W-005,WEEKLY,Amigos con fecha bautismal (Real),ki_baptismal_date_real,Amigos con Fecha Bautismal (Real),NUMBER,FALSE,FALSE,TRUE,5,TRUE
Q-W-006,WEEKLY,Amigos con fecha bautismal (Meta),ki_baptismal_date_meta,Amigos con Fecha Bautismal (Meta),NUMBER,FALSE,FALSE,TRUE,6,TRUE
Q-W-007,WEEKLY,Bautizados y confirmados (Real),ki_baptized_confirmed_real,Bautizados y Confirmados (Real),NUMBER,FALSE,FALSE,TRUE,7,TRUE
Q-W-008,WEEKLY,Bautizados y confirmados (Meta),ki_baptized_confirmed_meta,Bautizados y Confirmados (Meta),NUMBER,FALSE,FALSE,TRUE,8,TRUE
Q-W-009,WEEKLY,Conversos recientes en la Iglesia (Real),ki_rc_at_church_real,Conversos Recientes en la Iglesia (Real),NUMBER,FALSE,FALSE,TRUE,9,TRUE
Q-W-010,WEEKLY,Conversos recientes en la Iglesia (Meta),ki_rc_at_church_meta,Conversos Recientes en la Iglesia (Meta),NUMBER,FALSE,FALSE,TRUE,10,TRUE
Q-W-011,WEEKLY,Conversos recientes que podían asistir (Real),ki_rc_could_attend_real,RC Que Podían Asistir (Real),NUMBER,FALSE,FALSE,TRUE,11,TRUE
Q-W-012,WEEKLY,Conversos recientes que podían asistir (Meta),ki_rc_could_attend_meta,RC Que Podían Asistir (Meta),NUMBER,FALSE,FALSE,TRUE,12,TRUE
Q-W-013,WEEKLY,Nuevas personas encontradas (Real),ki_new_people_found_real,Nuevas Personas Encontradas (Real),NUMBER,FALSE,FALSE,TRUE,13,TRUE
Q-W-014,WEEKLY,Nuevas personas encontradas (Meta),ki_new_people_found_meta,Nuevas Personas Encontradas (Meta),NUMBER,FALSE,FALSE,TRUE,14,TRUE
Q-W-015,WEEKLY,Amigos en la Iglesia durante su primera semana de enseñanza (Real),ki_first_week_church_real,Amigos en la Iglesia (Primera Semana) (Real),NUMBER,FALSE,FALSE,TRUE,15,TRUE
Q-W-016,WEEKLY,Amigos en la Iglesia durante su primera semana de enseñanza (Meta),ki_first_week_church_meta,Amigos en la Iglesia (Primera Semana) (Meta),NUMBER,FALSE,FALSE,TRUE,16,TRUE
Q-W-017,WEEKLY,Lecciones con miembros participando (Real),ki_member_lessons_real,Lecciones con Miembros Participando (Real),NUMBER,FALSE,FALSE,TRUE,17,TRUE
Q-W-018,WEEKLY,Lecciones con miembros participando (Meta),ki_member_lessons_meta,Lecciones con Miembros Participando (Meta),NUMBER,FALSE,FALSE,TRUE,18,TRUE
