Zone,District,Area
El Carmen,La Aldea,El Carmen
El Carmen,La Aldea,La Aldea 1
El Carmen,La Aldea,Ocotillo
El Carmen,Las Lomas,Calpules
El Carmen,Las Lomas,Las Lomas
El Carmen,Las Lomas,San Juan
La Ceiba,Acasias,Acacias
La Ceiba,Acasias,Jutiapa
La Ceiba,Acasias,Pizzaty 1
La Ceiba,Acasias,Pizzaty 2
La Ceiba,Lempira,El Imán
La Ceiba,Lempira,Independencia
La Ceiba,Lempira,Lempira 1
La Ceiba,Lempira,Lempira 2
La Ceiba,Roatán,Flowers Bay
La Ceiba,Roatán,Los Fuertes
La Ceiba,Roatán,Roatán
La Ceiba,Roatán,Sandy Bay
La Ceiba,Roatán,Utila
La Paz,La Paz,Flores de Oriente
La Paz,La Paz,La Paz
La Paz,La Paz,Pineda
La Paz,La Sabana,El Porvenir
La Paz,La Sabana,La Sabana
La Paz,La Sabana,San Manuel 2
Miramar,Confite,Buenos Aires
Miramar,Confite,Confite 1
Miramar,Confite,Confite 2
Miramar,La Masica,La Masica
Miramar,La Masica,Mezapita
Miramar,La Masica,San Juan Pueblo
Miramar,Montecristo,Miramar
Miramar,Montecristo,Montecristo 1
Miramar,Montecristo,Montecristo 2
Olanchito,Olanchito,Bellavista
Olanchito,Olanchito,Coyoles 1
Olanchito,Olanchito,Coyoles 2
Olanchito,Olanchito,Olanchito
Olanchito,Sabá,Sabá 1
Olanchito,Sabá,Sabá 2
Olanchito,Sonaguera,Isletas Central
Olanchito,Sonaguera,Sonaguera 1
Olanchito,Sonaguera,Sonaguera 2
Olanchito,Tocoa,Tocoa 1
Olanchito,Tocoa,Tocoa 2
Olanchito,Trujillo,Trujillo 1
Olanchito,Trujillo,Trujillo 2
Palermo,Palermo,Palermo
Palermo,Palermo,Sarrosa 1
Palermo,Palermo,Sarrosa 2
Palermo,William Hall,Bendeck
Palermo,William Hall,Palmeras
Palermo,William Hall,William Hall
Planeta,Jerusalén,Jerusalén 1
Planeta,Jerusalén,La Mesa
Planeta,Planeta,La Lima 1
Planeta,Planeta,La Lima 2
Planeta,Planeta,Planeta 1
Planeta,Planeta,Planeta 2
Progreso,Berlín,Berlín 1
Progreso,Berlín,Berlín 2
Progreso,Berlín,Mezapa
Progreso,Progreso,Corocol
Progreso,Progreso,El Centro
Progreso,Progreso,Jazmines
Progreso,Progreso,Progreso
Progreso,Tela,Tela
Progreso,Tela,Telamar
Santa Rita,Morazán,El Negrito
Santa Rita,Morazán,Morazán 1
Santa Rita,Santa Rita,Aguablanca
Santa Rita,Santa Rita,Santa Rita
Santa Rita,Yoro,Yoro 1
Santa Rita,Yoro,Yoro 2
Satélite,Central,Central
Satélite,Central,Los Ángeles
Satélite,Central,Seis de Mayo 1
Satélite,Satelite,Luisiana 1
Satélite,Satelite,Planes
Satélite,Satelite,Satelite 1
Satélite,Satelite,Satelite 2
